number,company,symbol,ytd_return
250,GARTNER INC,,   2.19%
251,CONSTELLATION BRANDS INC A,,   2.10%
252,DOLLAR GENERAL CORP,,   2.09%
253,NRG ENERGY INC,,   2.07%
254,WELLTOWER INC,,   1.87%
255,PRINCIPAL FINANCIAL GROUP,,   1.83%
256,VERISK ANALYTICS INC,,   1.78%
257,ZEBRA TECHNOLOGIES CORP CL A,,   1.73%
258,EPAM SYSTEMS INC,,   1.71%
259,JOHNSON CONTROLS INTERNATION,,   1.63%
260,TE CONNECTIVITY LTD,,   1.63%
261,COTERRA ENERGY INC,,   1.57%
262,MEDTRONIC PLC,,   1.57%
263,ALLEGION PLC,,   1.42%
264,OCCIDENTAL PETROLEUM CORP,,   1.27%
265,MONDELEZ INTERNATIONAL INC A,,   1.19%
266,CF INDUSTRIES HOLDINGS INC,,   1.18%
267,HERSHEY CO/THE,,   1.16%
268,GOLDMAN SACHS GROUP INC,,   1.15%
269,KELLANOVA,,   0.95%
270,ALTRIA GROUP INC,,   0.92%
271,QORVO INC,,   0.81%
272,TYSON FOODS INC CL A,,   0.69%
273,EBAY INC,,   0.60%
274,L3HARRIS TECHNOLOGIES INC,,   0.53%
275,ROPER TECHNOLOGIES INC,,   0.50%
276,HUNTINGTON BANCSHARES INC,,   0.47%
277,MSCI INC,,   0.40%
278,MATCH GROUP INC,,   0.33%
279,MCDONALD S CORP,,   0.21%
280,MARATHON OIL CORP,,   -0.04%
281,COOPER COS INC/THE,,   -0.12%
282,FOX CORP   CLASS A,,   -0.13%
283,ZOETIS INC,,   -0.17%
284,BROWN FORMAN CORP CLASS B,,   -0.18%
285,BANK OF AMERICA CORP,,   -0.18%
286,GENERAL MILLS INC,,   -0.21%
287,UNITEDHEALTH GROUP INC,,   -0.22%
288,KIMBERLY CLARK CORP,,   -0.23%
289,WILLIAMS COS INC,,   -0.32%
290,FIRSTENERGY CORP,,   -0.49%
291,AMERICAN ELECTRIC POWER,,   -0.55%
292,PROLOGIS INC,,   -0.56%
293,AMGEN INC,,   -0.57%
294,WATERS CORP,,   -0.67%
295,BLACKROCK INC,,   -0.71%
296,EXELON CORP,,   -0.75%
297,MCCORMICK + CO NON VTG SHRS,,   -0.79%
298,NETAPP INC,,   -0.83%
299,ILLINOIS TOOL WORKS,,   -0.84%
300,ESTEE LAUDER COMPANIES CL A,,   -0.84%
301,BECTON DICKINSON AND CO,,   -0.87%
302,JM SMUCKER CO/THE,,   -0.89%
303,PEPSICO INC,,   -0.93%
304,DOMINION ENERGY INC,,   -0.94%
305,M + T BANK CORP,,   -1.02%
306,SMITH (A.O.) CORP,,   -1.03%
307,AT+T INC,,   -1.07%
308,INTERPUBLIC GROUP OF COS INC,,   -1.10%
309,ENTERGY CORP,,   -1.23%
310,BOOKING HOLDINGS INC,,   -1.34%
311,METTLER TOLEDO INTERNATIONAL,,   -1.46%
312,ALPHABET INC CL A,,   -1.52%
313,FLEETCOR TECHNOLOGIES INC,,   -1.52%
314,LIVE NATION ENTERTAINMENT IN,,   -1.53%
315,BRISTOL MYERS SQUIBB CO,,   -1.54%
316,ALPHABET INC CL C,,   -1.55%
317,FOX CORP   CLASS B,,   -1.56%
318,S+P GLOBAL INC,,   -1.61%
319,ILLUMINA INC,,   -1.63%
320,ROLLINS INC,,   -1.69%
321,STARBUCKS CORP,,   -1.80%
322,NORTHROP GRUMMAN CORP,,   -1.88%
323,FORD MOTOR CO,,   -1.97%
324,AMEREN CORPORATION,,   -2.09%
325,BROADRIDGE FINANCIAL SOLUTIO,,   -2.11%
326,CONAGRA BRANDS INC,,   -2.27%
327,BEST BUY CO INC,,   -2.34%
328,INVITATION HOMES INC,,   -2.35%
329,CAMPBELL SOUP CO,,   -2.43%
330,PUBLIC SERVICE ENTERPRISE GP,,   -2.47%
331,CMS ENERGY CORP,,   -2.53%
332,MOODY S CORP,,   -2.67%
333,KRAFT HEINZ CO/THE,,   -2.76%
334,KINDER MORGAN INC,,   -2.89%
335,POOL CORP,,   -3.09%
336,CONOCOPHILLIPS,,   -3.14%
337,NISOURCE INC,,   -3.16%
338,CVS HEALTH CORP,,   -3.20%
